edad;ingresos;vivienda;tiempo trabajado;motivo;scoring;cantidad;tipo de interes;solvencia;ratio endeudamiento;impagos;historial crediticio
26;89028;alquiler;0;deuda;A;30000;6.62;1;0.34;no;3
24;78000;alquiler;4;deuda;D;30000;;1;0.38;si;4
23;78000;alquiler;7;deuda;D;30000;18.62;1;0.38;si;3
23;92004;alquiler;6;personal;C;30000;15.23;1;0.33;si;3
23;97000;alquiler;7;viaje;B;30000;10.65;1;0.31;no;2
25;120000;alquiler;9;estudios;A;30000;7.9;0;0.25;no;4
26;280000;alquiler;4;personal;C;10000;15.96;0;0.04;si;3
26;277104;alquiler;0;viaje;B;20000;11.48;0;0.07;no;3
23;277000;pagada;3;personal;A;35000;;0;0.13;no;4
25;128000;alquiler;9;personal;A;30000;7.29;0;0.23;no;4
24;12000;pagada;2;viaje;D;1750;;0;0.15;si;3
21;131000;alquiler;0;viaje;A;30000;5.99;0;0.23;no;4
22;275000;pagada;6;viaje;B;12000;11.58;0;0.04;no;2
26;263000;hipoteca;0;estudios;B;10000;;1;0.04;no;4
25;221850;hipoteca;9;medico;D;25000;15.7;1;0.1;no;2
22;70000;alquiler;6;estudios;D;29100;15.99;1;0.42;no;3
22;12000;hipoteca;7;estudios;D;1500;14.84;0;0.13;si;3
26;260000;pagada;10;reforma;B;28000;10.99;0;0.11;no;3
25;259000;hipoteca;9;reforma;D;20000;14.42;0;0.08;si;2
24;255000;hipoteca;9;estudios;A;9600;6.99;0;0.04;no;2
25;250000;alquiler;2;medico;C;25000;13.49;0;0.1;no;4
25;12000;pagada;0;medico;C;3000;;1;0.25;no;3
22;56950;alquiler;6;medico;A;28000;;1;0.49;no;2
21;12000;pagada;6;estudios;C;3000;13.61;1;0.25;si;3
23;65000;alquiler;2;estudios;A;28000;7.9;1;0.43;no;2
26;85000;alquiler;2;viaje;A;28000;7.49;1;0.33;no;3
26;12000;pagada;2;estudios;A;6100;7.51;1;0.51;no;3
22;88000;alquiler;6;viaje;B;28000;9.91;1;0.32;no;3
21;12000;pagada;0;personal;C;4200;13.48;1;0.35;si;4
22;12000;pagada;6;deuda;A;4750;7.14;1;0.4;no;2
24;83004;alquiler;0;viaje;D;28000;15.99;1;0.34;si;4
24;250000;alquiler;2;estudios;C;18000;12.98;0;0.07;si;3
25;100000;alquiler;5;deuda;B;28000;12.69;0;0.28;no;3
26;110000;alquiler;10;estudios;A;28000;8.9;0;0.25;no;2
26;12000;pagada;0;deuda;A;2700;;1;0.23;no;4
22;108000;alquiler;6;estudios;B;28000;;1;0.26;no;4
23;151200;alquiler;7;deuda;B;28000;11.11;0;0.19;no;2
24;69000;alquiler;2;reforma;A;27600;;1;0.4;no;2
21;12000;hipoteca;5;deuda;D;3250;15.68;1;0.27;si;3
22;70000;alquiler;4;estudios;C;27500;13.06;1;0.39;si;3
22;240000;pagada;6;personal;B;25000;;0;0.1;no;2
26;73200;alquiler;5;viaje;D;27050;15.62;1;0.37;si;2
24;83000;alquiler;5;personal;C;27000;13.49;1;0.33;si;2
24;73399;alquiler;0;viaje;D;27000;;1;0.37;no;3
23;62500;alquiler;7;medico;B;26000;11.71;1;0.42;no;2
23;120000;alquiler;1;estudios;B;25600;12.69;0;0.21;no;3
24;12360;pagada;2;medico;C;1600;13.57;0;0.13;no;3
22;60000;alquiler;0;viaje;B;25475;10.99;1;0.42;no;3
25;234000;hipoteca;3;medico;C;20000;14.27;0;0.09;si;4
24;234000;pagada;8;reforma;B;20000;8.88;0;0.09;no;4
26;234000;hipoteca;10;reforma;B;21600;12.18;0;0.09;no;3
25;221004;hipoteca;6;deuda;D;11900;14.42;1;0.05;si;3
26;232500;hipoteca;0;medico;C;25000;14.17;0;0.11;si;2
25;230000;hipoteca;5;medico;C;35000;13.99;0;0.15;no;4
23;83000;alquiler;7;estudios;B;25300;10.99;1;0.3;no;3
22;12600;hipoteca;;personal;A;2000;5.42;1;0.16;no;4
25;12600;pagada;3;personal;C;1750;13.61;0;0.14;no;3
21;42500;alquiler;3;estudios;C;25000;12.73;1;0.59;si;3
24;41000;alquiler;2;reforma;D;25000;;1;0.61;no;3
25;12816;pagada;0;deuda;C;3000;12.87;1;0.23;si;4
24;12960;hipoteca;1;reforma;B;3650;9.91;1;0.28;no;3
26;226000;hipoteca;4;reforma;B;20000;11.49;0;0.09;no;4
25;225000;hipoteca;0;reforma;D;30000;19.91;0;0.13;si;2
26;213000;hipoteca;6;estudios;B;35000;10.65;1;0.16;no;2
24;225000;alquiler;0;medico;B;6000;;0;0.03;no;4
24;12960;hipoteca;0;deuda;B;4500;11.83;1;0.35;no;4
23;12996;pagada;0;deuda;C;2400;13.49;1;0.18;si;2
22;42000;alquiler;6;medico;D;25000;14.59;1;0.6;si;2
26;48000;alquiler;2;estudios;B;25000;9.64;1;0.52;no;4
25;12996;pagada;1;medico;D;3600;14.59;1;0.28;no;3
22;12996;pagada;1;estudios;B;4750;;1;0.37;no;3
25;42360;alquiler;1;estudios;D;25000;16.35;1;0.59;si;3
21;49000;alquiler;4;estudios;B;25000;10.99;1;0.51;no;2
25;225000;hipoteca;0;viaje;D;25000;18.67;0;0.11;no;2
26;225000;alquiler;1;estudios;A;3000;9.32;0;0.01;no;4
23;225000;alquiler;8;deuda;A;7500;8.63;0;0.03;no;2
26;225000;hipoteca;2;viaje;B;25000;10.08;0;0.11;no;2
22;49464;alquiler;5;personal;B;25000;11.83;1;0.51;no;3
23;50000;alquiler;1;deuda;A;25000;7.9;1;0.5;no;3
25;50000;alquiler;4;reforma;A;25000;5.99;1;0.5;no;2
24;44000;alquiler;2;deuda;D;25000;15.33;1;0.57;no;2
23;50000;alquiler;1;viaje;B;25000;11.83;1;0.5;no;4
22;50004;alquiler;0;viaje;B;25000;10.36;1;0.5;no;2
22;50004;alquiler;3;viaje;C;25000;12.23;1;0.5;no;3
22;52000;alquiler;2;estudios;B;25000;11.11;1;0.48;no;4
23;13200;pagada;3;deuda;A;4950;7.9;1;0.38;no;4
24;220000;hipoteca;1;estudios;B;25000;11.58;0;0.11;no;2
23;216000;hipoteca;5;deuda;A;21000;8.9;0;0.1;no;3
25;216000;hipoteca;2;estudios;D;25000;16.07;0;0.12;no;3
26;216000;hipoteca;10;estudios;C;20000;14.22;0;0.09;si;2
23;215000;hipoteca;7;medico;C;35000;14.79;0;0.16;si;3
26;215000;hipoteca;11;estudios;A;12000;7.88;0;0.06;no;2
23;52000;alquiler;1;personal;C;25000;13.22;1;0.48;no;2
26;46000;alquiler;2;deuda;D;25000;11.86;1;0.54;no;4
22;53000;alquiler;5;estudios;C;25000;13.43;1;0.47;si;4
26;47000;alquiler;0;reforma;D;25000;15.28;1;0.53;si;2
23;47000;alquiler;1;viaje;D;25000;17.93;1;0.53;no;2
23;13200;hipoteca;2;estudios;B;1400;9.25;0;0.11;no;4
21;13200;pagada;0;viaje;C;4500;12.98;1;0.34;no;4
22;210000;hipoteca;6;viaje;B;16000;10.62;0;0.08;no;4
26;210000;pagada;10;personal;B;22000;11.83;0;0.1;no;4
26;48000;alquiler;5;viaje;D;25000;18.43;1;0.52;no;2
22;54996;alquiler;6;estudios;B;25000;;1;0.45;no;4
24;55000;alquiler;4;reforma;D;25000;;1;0.45;si;4
23;55000;alquiler;4;estudios;B;25000;11.36;1;0.45;no;3
23;55000;alquiler;4;estudios;D;25000;15.65;1;0.45;si;3
24;55164;alquiler;8;personal;C;25000;13.22;1;0.45;si;4
26;56000;alquiler;4;deuda;C;25000;12.87;1;0.45;no;2
24;203500;pagada;8;medico;C;20000;13.04;0;0.1;no;3
23;190000;hipoteca;5;estudios;D;22000;17.58;1;0.12;si;3
23;13920;pagada;2;personal;D;7750;17.04;1;0.56;no;4
24;60000;alquiler;0;personal;B;25000;10.99;1;0.42;no;3
24;60000;alquiler;2;personal;B;25000;11.11;1;0.42;no;3
26;54000;alquiler;7;deuda;D;25000;14.83;1;0.46;si;2
23;14000;pagada;2;deuda;D;4000;;1;0.29;no;3
24;200000;alquiler;8;medico;B;12000;12.69;0;0.06;no;2
24;200000;hipoteca;8;reforma;C;12000;13.49;0;0.06;no;2
21;200000;hipoteca;5;estudios;C;16000;14.65;0;0.08;no;4
25;54000;alquiler;3;reforma;D;25000;16.82;1;0.46;no;4
23;60000;alquiler;3;personal;C;25000;12.73;1;0.42;no;3
23;60000;alquiler;7;personal;B;25000;10.25;1;0.42;no;4
21;60000;alquiler;6;estudios;B;25000;10.99;1;0.42;no;4
25;61959;alquiler;9;medico;C;25000;12.73;1;0.4;no;2
22;56400;alquiler;2;reforma;D;25000;14.96;1;0.44;si;3
23;200000;hipoteca;7;estudios;A;28000;;0;0.14;no;2
21;200000;hipoteca;2;deuda;C;25000;13.99;0;0.13;no;2
24;200000;hipoteca;3;viaje;A;24000;7.49;0;0.12;no;4
26;200000;hipoteca;4;estudios;C;15000;14.79;0;0.07;no;3
25;200000;hipoteca;2;deuda;B;15500;11.99;0;0.08;no;2
24;200000;alquiler;8;estudios;A;10000;8.49;0;0.05;no;4
24;66000;alquiler;3;estudios;B;25000;9.91;1;0.38;no;2
22;66000;alquiler;6;estudios;C;25000;13.06;1;0.38;si;3
22;200000;hipoteca;6;deuda;A;9000;6.17;0;0.04;no;4
25;200000;alquiler;5;estudios;D;18000;16.32;0;0.09;no;3
25;200000;hipoteca;2;viaje;B;12000;10.38;0;0.06;no;2
25;200000;hipoteca;9;personal;C;23050;14.35;0;0.12;no;3
24;200000;hipoteca;8;deuda;B;20000;;0;0.1;no;3
24;60000;alquiler;2;deuda;D;25000;;1;0.42;si;2
21;14400;pagada;0;reforma;B;3000;;1;0.21;no;4
26;66996;alquiler;10;personal;D;25000;15.21;1;0.37;si;2
23;67000;alquiler;3;estudios;A;25000;7.9;1;0.37;no;4
24;67000;alquiler;2;viaje;B;25000;10.99;1;0.37;no;3
24;68000;alquiler;5;personal;D;25000;14.09;1;0.37;si;3
25;69000;alquiler;9;personal;D;25000;17.49;1;0.36;no;2
25;200000;hipoteca;0;estudios;B;12000;11.48;0;0.06;no;3
26;188000;hipoteca;10;viaje;D;20000;17.74;1;0.11;no;2
26;200000;hipoteca;4;personal;C;3000;13.92;0;0.01;no;3
25;69996;alquiler;9;estudios;D;25000;15.21;1;0.36;no;3
22;14400;pagada;2;medico;B;4000;10.99;1;0.28;no;3
24;70000;alquiler;3;estudios;B;25000;11.86;1;0.36;no;4
24;14400;pagada;5;personal;A;6000;7.49;1;0.42;no;3
24;56100;alquiler;7;medico;D;25000;16.49;1;0.38;no;4
25;66000;alquiler;9;viaje;D;25000;15.33;1;0.38;si;2
26;66000;alquiler;3;reforma;B;25000;11.58;1;0.38;no;4
25;14400;pagada;7;estudios;A;5375;5.79;1;0.37;no;2
25;72612;alquiler;9;medico;C;25000;13.11;1;0.34;no;2
23;74000;alquiler;3;medico;B;25000;10.36;1;0.34;no;3
25;75000;alquiler;9;deuda;B;25000;10.36;1;0.33;no;2
24;192000;alquiler;0;medico;C;22000;;0;0.11;si;2
25;191000;hipoteca;1;medico;B;10000;12.53;0;0.05;no;4
26;190300;hipoteca;5;personal;A;15000;;0;0.08;no;3
22;190000;hipoteca;3;viaje;C;10000;;0;0.05;no;3
24;75000;alquiler;4;estudios;B;25000;10.25;1;0.33;no;4
22;71000;alquiler;1;estudios;D;25000;15.95;1;0.35;si;4
26;190000;hipoteca;3;viaje;B;20000;12.18;0;0.11;no;4
23;189996;pagada;0;personal;B;24000;11.83;0;0.13;no;3
23;78000;alquiler;7;deuda;C;25000;;1;0.32;si;2
23;78000;alquiler;1;viaje;B;25000;10.62;1;0.32;no;3
23;78504;alquiler;7;viaje;B;25000;10.74;1;0.32;no;3
25;186000;pagada;9;viaje;B;10000;10.25;0;0.05;no;4
24;185000;hipoteca;;estudios;B;35000;12.42;0;0.19;no;2
25;185000;alquiler;6;viaje;C;15000;15.27;0;0.08;no;2
24;62050;alquiler;8;medico;D;25000;15.33;1;0.34;si;2
23;79416;alquiler;7;viaje;D;25000;15.21;1;0.31;si;2
21;14400;pagada;4;viaje;C;6250;14.72;1;0.43;no;2
24;79631;alquiler;8;personal;D;25000;15.7;1;0.31;si;2
24;79632;alquiler;0;estudios;C;25000;13.35;1;0.31;no;4
21;14400;hipoteca;0;medico;C;1500;;0;0.1;no;4
24;80000;alquiler;6;estudios;A;25000;6.62;1;0.31;no;2
26;80000;alquiler;5;deuda;C;25000;13.61;1;0.31;no;4
22;185000;alquiler;4;medico;B;25000;11.36;0;0.14;no;2
26;185000;pagada;10;personal;A;5000;7.68;0;0.03;no;2
24;184992;alquiler;7;reforma;D;22000;14.46;0;0.12;si;4
23;184000;pagada;5;estudios;B;2500;11.83;0;0.01;no;2
24;172000;hipoteca;6;deuda;C;20000;13.47;1;0.12;si;4
24;183000;hipoteca;2;medico;B;20000;11.49;0;0.11;no;3
22;183000;hipoteca;3;estudios;A;1000;;0;0.01;no;2
25;182952;hipoteca;9;personal;A;15000;6.03;0;0.08;no;3
23;74004;alquiler;7;deuda;D;25000;16.35;1;0.34;no;4
26;74004;alquiler;10;deuda;D;25000;;1;0.34;si;4
25;81000;alquiler;5;deuda;A;25000;7.29;1;0.31;no;3
23;81600;alquiler;1;medico;B;25000;11.36;1;0.31;no;3
24;82000;alquiler;8;viaje;B;25000;10.25;0;0.3;no;2
24;83000;alquiler;5;estudios;B;25000;11.12;0;0.3;no;3
24;83000;alquiler;5;personal;D;25000;12.92;0;0.3;si;3
24;180000;alquiler;8;estudios;D;18000;18.64;0;0.1;si;4
23;180000;hipoteca;8;personal;A;28000;7.51;0;0.16;no;3
23;14400;pagada;2;reforma;D;4000;16.7;1;0.28;no;2
22;14400;pagada;0;personal;B;2100;11.14;0;0.15;no;4
22;84500;alquiler;6;personal;D;25000;18.3;0;0.3;no;4
24;85000;alquiler;5;medico;B;25000;10.62;0;0.29;no;4
24;180000;hipoteca;7;viaje;B;14000;11.99;0;0.08;no;2
26;180000;hipoteca;2;viaje;B;12000;9.63;0;0.07;no;4
25;142800;hipoteca;9;medico;D;10000;18.25;1;0.06;no;4
23;14664;hipoteca;0;deuda;C;6000;;1;0.41;no;4
24;87000;alquiler;8;reforma;D;25000;14.84;0;0.29;no;3
24;75000;alquiler;0;viaje;D;25000;14.7;1;0.33;si;3
23;76000;alquiler;7;deuda;D;25000;16.02;1;0.33;no;4
23;66215;alquiler;1;medico;D;25000;15.37;1;0.32;si;2
25;90000;alquiler;9;medico;B;25000;10.99;0;0.28;no;4
21;15000;pagada;0;reforma;A;6200;7.9;1;0.41;no;2
26;180000;pagada;2;personal;B;25000;10.99;0;0.14;no;4
24;180000;pagada;8;estudios;B;21000;11.48;0;0.12;no;3
25;180000;pagada;9;medico;C;20000;14.26;0;0.11;si;4
26;180000;pagada;0;reforma;A;10000;8;0;0.06;no;4
25;180000;hipoteca;3;viaje;B;9950;11.26;0;0.06;no;2
23;15000;pagada;7;medico;B;4475;;1;0.3;no;4
23;78000;alquiler;2;viaje;D;25000;16.32;1;0.32;si;3
25;66300;alquiler;3;medico;D;25000;17.93;1;0.32;si;4
23;90000;alquiler;0;deuda;B;25000;11.36;0;0.28;no;3
24;79000;alquiler;9;deuda;D;25000;14.96;1;0.32;si;4
24;91800;alquiler;4;personal;C;25000;13.43;0;0.27;si;3
25;92000;alquiler;6;reforma;B;25000;12.69;0;0.27;no;3
24;92000;alquiler;1;viaje;C;25000;12.73;0;0.27;si;4
23;93600;alquiler;3;viaje;D;25000;15.21;0;0.27;no;4
23;15000;hipoteca;1;medico;C;1750;12.68;0;0.12;si;3
23;70550;alquiler;3;medico;D;25000;19.04;1;0.3;si;4
25;83800;alquiler;2;deuda;D;25000;15.95;1;0.3;si;3
26;175000;hipoteca;3;viaje;A;2600;8.9;0;0.01;no;4
25;175000;hipoteca;10;reforma;A;8000;7.9;0;0.05;no;2
22;175000;hipoteca;6;estudios;B;18000;;0;0.1;no;2
23;175000;hipoteca;8;personal;B;21000;11.99;0;0.12;no;3
23;15000;pagada;4;deuda;C;4000;13.98;1;0.27;no;4
23;15000;pagada;4;viaje;B;4600;10.99;1;0.31;no;2
22;88000;alquiler;6;deuda;D;25000;15.58;1;0.28;si;2
25;74800;alquiler;2;medico;B;25000;10.99;1;0.28;no;2
25;88000;alquiler;0;viaje;D;25000;14.96;1;0.28;no;4
25;15000;pagada;2;reforma;D;1750;15.31;0;0.12;si;4
26;88000;alquiler;2;viaje;D;25000;15.65;1;0.28;no;3
25;100000;alquiler;1;viaje;B;25000;9.33;0;0.25;no;4
23;15000;hipoteca;0;personal;C;3600;13.47;1;0.24;no;4
24;102400;alquiler;8;personal;B;25000;10.36;0;0.24;no;3
24;92000;alquiler;1;reforma;D;25000;16.77;1;0.27;si;4
23;93000;alquiler;0;deuda;D;25000;14.59;1;0.27;si;2
22;175000;alquiler;6;viaje;C;3500;11.91;0;0.02;si;2
23;175000;hipoteca;3;estudios;A;7200;8.38;0;0.04;no;3
25;174708;alquiler;9;viaje;B;9000;10.59;0;0.05;no;3
25;174000;hipoteca;2;deuda;C;8800;14.27;0;0.05;no;3
26;174000;alquiler;8;deuda;B;12000;12.53;0;0.07;no;4
25;162000;hipoteca;5;deuda;D;25000;16;1;0.15;si;3
26;173467;hipoteca;10;viaje;B;10000;11.71;0;0.06;no;4
21;15000;pagada;0;reforma;C;3175;11.54;1;0.21;si;3
25;96000;alquiler;2;reforma;D;25000;15.68;1;0.26;si;4
21;15120;hipoteca;0;estudios;B;1500;10.59;0;0.1;no;2
24;97908;alquiler;8;reforma;D;25000;12.61;1;0.26;si;2
26;110000;alquiler;3;personal;C;25000;;0;0.23;si;2
23;15204;hipoteca;7;personal;A;2800;8.49;1;0.18;no;3
25;159600;alquiler;0;personal;D;30000;17.27;1;0.19;si;4
24;171500;alquiler;6;deuda;A;18000;8.9;0;0.1;no;4
25;170004;hipoteca;3;medico;B;10000;11.11;0;0.06;no;4
24;158004;alquiler;0;reforma;D;25000;14.59;1;0.16;si;2
26;170000;alquiler;0;viaje;B;13000;12.42;0;0.08;no;3
24;83300;alquiler;0;medico;D;25000;;1;0.26;no;2
24;110000;alquiler;7;reforma;D;25000;15.7;0;0.23;si;2
22;15360;pagada;7;reforma;B;2500;12.53;1;0.16;no;3
25;134300;alquiler;3;medico;D;5000;16.49;1;0.03;no;2
25;170000;hipoteca;2;estudios;A;20000;7.49;0;0.12;no;2
22;100580;alquiler;6;deuda;D;25000;14.96;1;0.25;si;2
25;113000;alquiler;7;medico;C;25000;12.73;0;0.22;si;4
24;120000;alquiler;8;estudios;B;25000;10.65;0;0.21;no;4
25;120000;alquiler;6;medico;B;25000;10.74;0;0.21;no;2
23;120000;alquiler;7;estudios;B;25000;9.99;0;0.21;no;2
24;91800;alquiler;5;medico;D;25000;15.33;1;0.23;si;2
21;15600;pagada;5;viaje;A;1000;7.29;0;0.06;no;4
26;108000;alquiler;2;personal;D;25000;15.05;1;0.23;no;3
26;129996;alquiler;6;personal;B;25000;10.75;0;0.19;no;3
23;130000;alquiler;4;estudios;D;25000;16.02;0;0.19;si;2
23;130000;alquiler;7;viaje;B;25000;11.49;0;0.19;no;4
25;170000;pagada;4;estudios;B;20000;12.53;0;0.12;no;4
26;170000;hipoteca;0;viaje;C;12000;13.57;0;0.07;si;2
22;169000;alquiler;1;personal;B;14000;11.14;0;0.08;no;3
26;168750;alquiler;10;medico;C;24250;12.87;0;0.14;si;3
23;168600;alquiler;3;estudios;B;20000;11.58;0;0.12;no;3
24;168288;alquiler;5;reforma;B;1800;11.12;0;0.01;no;3
25;168000;hipoteca;2;personal;B;35000;10.65;0;0.21;no;2
24;133300;alquiler;6;deuda;B;25000;10.37;0;0.19;no;2
24;15600;pagada;5;reforma;A;3300;6.39;1;0.21;no;4
24;134000;alquiler;8;personal;D;25000;16.07;0;0.19;si;3
25;134000;alquiler;7;medico;B;25000;10.62;0;0.19;no;2
25;15600;pagada;0;viaje;D;3200;18.09;1;0.21;no;2
25;135000;alquiler;5;estudios;B;25000;11.36;0;0.19;no;4
26;135660;alquiler;10;deuda;B;25000;12.53;0;0.18;no;4
25;145000;alquiler;0;estudios;B;25000;9.99;0;0.17;no;4
23;150000;alquiler;4;estudios;B;25000;10.36;0;0.17;no;3
23;165000;hipoteca;3;estudios;A;9600;5.99;0;0.06;no;3
22;153000;hipoteca;5;deuda;D;24000;15.62;1;0.16;si;2
24;165000;hipoteca;5;personal;B;20000;10.37;0;0.12;no;4
25;165000;hipoteca;0;reforma;D;25000;19.74;0;0.15;no;4
21;165000;hipoteca;5;estudios;A;20000;6.91;0;0.12;no;4
23;16000;pagada;7;medico;A;6000;7.9;1;0.38;no;2
23;16000;hipoteca;3;deuda;C;2275;13.06;0;0.14;si;4
23;16000;pagada;7;personal;A;2000;6.39;0;0.13;no;3
23;148000;alquiler;1;deuda;D;25000;14.93;1;0.17;no;3
23;16000;hipoteca;1;medico;C;5600;12.84;1;0.35;no;4
24;16020;pagada;3;viaje;D;3625;17.14;1;0.23;si;2
22;16094;hipoteca;2;viaje;A;5500;7.14;1;0.34;no;3
25;175000;alquiler;2;personal;A;25000;8.9;0;0.14;no;2
22;16200;pagada;6;personal;B;2000;12.42;0;0.12;no;3
24;185000;alquiler;7;reforma;C;25000;12.68;0;0.14;si;2
25;162000;alquiler;9;personal;C;25000;11.03;0;0.15;no;2
26;161000;alquiler;10;viaje;A;30000;7.9;0;0.19;no;4
22;160000;hipoteca;0;medico;B;35000;10.65;0;0.22;no;4
25;225000;alquiler;5;viaje;B;25000;11.86;0;0.11;no;4
25;16400;pagada;1;personal;A;5000;8.94;1;0.3;no;4
23;16500;pagada;6;viaje;B;4375;9.63;1;0.27;no;4
25;49500;alquiler;6;personal;C;24750;14.22;1;0.5;no;3
23;60000;alquiler;4;deuda;B;24750;9.33;1;0.41;no;3
24;84200;alquiler;8;medico;C;24500;13.85;0;0.29;no;4
22;16800;hipoteca;5;estudios;B;2000;10.65;0;0.12;no;2
24;92000;alquiler;8;medico;B;24500;11.46;0;0.27;no;4
23;160000;hipoteca;5;personal;A;35000;7.66;0;0.22;no;2
24;160000;hipoteca;9;viaje;D;12000;16.77;0;0.07;no;4
25;160000;hipoteca;1;personal;B;12000;9.63;0;0.07;no;4
26;160000;alquiler;6;personal;C;25000;12.23;0;0.16;si;4
25;125800;hipoteca;0;medico;D;10000;14.09;1;0.07;no;4
25;54000;alquiler;2;personal;C;24250;13.98;1;0.45;no;4
23;62500;alquiler;1;estudios;B;24250;10.62;1;0.39;no;4
24;16800;hipoteca;;deuda;A;3900;;1;0.23;no;3
25;68400;alquiler;9;personal;D;24250;17.56;1;0.35;no;4
26;56045;alquiler;1;medico;D;24250;14.96;1;0.37;no;2
22;74000;alquiler;7;deuda;D;24250;15.65;1;0.33;si;2
24;65453;alquiler;9;medico;D;24250;15.7;1;0.31;no;2
24;89908;alquiler;1;viaje;B;24250;12.53;0;0.27;no;3
26;78000;alquiler;0;reforma;D;24250;17.56;1;0.31;si;3
23;100000;alquiler;0;personal;C;24250;12.87;0;0.24;si;2
23;103000;alquiler;6;personal;D;24250;15.7;0;0.24;no;2
25;160000;hipoteca;2;estudios;A;9000;;0;0.06;no;3
25;160000;pagada;5;viaje;B;15000;11.14;0;0.09;no;4
24;160000;hipoteca;3;viaje;D;20000;16;0;0.13;no;3
23;160000;hipoteca;2;estudios;D;25000;15.65;0;0.16;si;2
26;160000;hipoteca;0;deuda;C;13750;;0;0.09;no;4
21;160000;hipoteca;3;viaje;D;15250;15.31;0;0.1;si;4
25;160000;hipoteca;3;viaje;C;20000;13.47;0;0.13;si;2
22;16800;hipoteca;0;reforma;C;4750;13.85;1;0.28;si;2
25;111996;alquiler;9;personal;D;24250;;0;0.22;no;3
21;16800;hipoteca;0;viaje;B;6000;10.39;1;0.36;no;4
25;115200;alquiler;0;reforma;B;24250;11.36;0;0.21;no;2
23;144000;alquiler;0;estudios;B;24250;11.83;0;0.17;no;3
23;287000;alquiler;3;estudios;B;24250;12.53;0;0.08;no;3
22;108000;alquiler;1;reforma;D;24150;14.96;1;0.22;si;3
22;43000;alquiler;7;deuda;C;24000;13.85;1;0.56;si;3
23;47004;alquiler;1;viaje;B;24000;11.58;1;0.51;no;4
24;48000;alquiler;4;viaje;D;24000;16.29;1;0.5;si;2
26;48000;alquiler;4;medico;A;24000;;1;0.5;no;3
